
% Spectrum for month 10, day 21.
%
% The first column contains the channel number (0-8191)
% and the second contains the number of counts in that channel.
%
% E2 = 1.0101 MeV
% E3 = 2.6694 MeV
% E4 = 2.7492 MeV
%
0	262
1	254
2	249
3	250
4	251
5	251
6	242
7	261
8	265
9	270
10	262
11	251
12	261
13	258
14	272
15	272
16	263
17	249
18	279
19	280
20	230
21	273
22	268
23	296
24	249
25	280
26	250
27	243
28	263
29	245
30	314
31	273
32	284
33	269
34	276
35	301
36	285
37	270
38	286
39	260
40	277
41	286
42	279
43	262
44	292
45	272
46	284
47	300
48	298
49	277
50	298
51	307
52	284
53	271
54	262
55	308
56	284
57	317
58	299
59	239
60	277
61	290
62	277
63	253
64	291
65	247
66	293
67	290
68	295
69	297
70	280
71	317
72	290
73	283
74	297
75	296
76	317
77	300
78	293
79	287
80	315
81	319
82	302
83	311
84	304
85	308
86	316
87	304
88	329
89	311
90	283
91	305
92	318
93	317
94	312
95	295
96	335
97	288
98	321
99	297
100	320
101	320
102	335
103	314
104	332
105	309
106	314
107	315
108	340
109	300
110	318
111	352
112	295
113	308
114	341
115	317
116	306
117	333
118	322
119	312
120	345
121	350
122	323
123	322
124	317
125	329
126	321
127	349
128	344
129	356
130	322
131	320
132	361
133	362
134	331
135	336
136	337
137	365
138	360
139	331
140	322
141	343
142	345
143	337
144	358
145	346
146	380
147	370
148	358
149	338
150	361
151	347
152	325
153	332
154	375
155	366
156	377
157	332
158	349
159	399
160	323
161	332
162	331
163	362
164	311
165	389
166	353
167	325
168	371
169	344
170	395
171	407
172	377
173	382
174	398
175	364
176	400
177	326
178	342
179	342
180	387
181	389
182	377
183	397
184	383
185	348
186	364
187	375
188	373
189	365
190	337
191	335
192	399
193	371
194	373
195	375
196	361
197	375
198	382
199	389
200	373
201	391
202	374
203	404
204	403
205	398
206	393
207	381
208	368
209	384
210	403
211	391
212	419
213	408
214	361
215	396
216	442
217	355
218	405
219	410
220	392
221	396
222	421
223	410
224	412
225	405
226	392
227	391
228	395
229	398
230	399
231	386
232	406
233	398
234	406
235	400
236	413
237	429
238	396
239	423
240	451
241	420
242	411
243	414
244	433
245	443
246	404
247	423
248	433
249	465
250	395
251	425
252	456
253	411
254	419
255	421
256	393
257	423
258	420
259	447
260	396
261	417
262	450
263	426
264	472
265	412
266	461
267	424
268	407
269	445
270	424
271	448
272	422
273	469
274	406
275	463
276	450
277	444
278	446
279	438
280	434
281	457
282	480
283	461
284	442
285	418
286	434
287	447
288	450
289	470
290	430
291	428
292	447
293	461
294	441
295	472
296	453
297	463
298	454
299	462
300	437
301	471
302	441
303	481
304	454
305	435
306	451
307	476
308	420
309	525
310	486
311	418
312	425
313	488
314	456
315	448
316	449
317	470
318	446
319	447
320	456
321	463
322	485
323	448
324	474
325	477
326	450
327	483
328	490
329	472
330	481
331	500
332	456
333	445
334	463
335	507
336	499
337	453
338	472
339	507
340	515
341	476
342	472
343	441
344	449
345	477
346	545
347	481
348	462
349	502
350	469
351	493
352	506
353	496
354	478
355	476
356	505
357	494
358	481
359	483
360	497
361	510
362	523
363	465
364	465
365	545
366	534
367	494
368	510
369	505
370	531
371	505
372	519
373	553
374	507
375	523
376	529
377	515
378	497
379	545
380	506
381	551
382	504
383	534
384	556
385	526
386	518
387	537
388	528
389	516
390	522
391	560
392	544
393	535
394	533
395	530
396	533
397	505
398	502
399	509
400	544
401	552
402	581
403	521
404	546
405	507
406	565
407	525
408	468
409	544
410	517
411	487
412	527
413	497
414	572
415	584
416	532
417	513
418	577
419	555
420	527
421	555
422	551
423	585
424	537
425	586
426	540
427	520
428	570
429	541
430	575
431	550
432	560
433	549
434	554
435	552
436	602
437	539
438	597
439	558
440	574
441	521
442	572
443	542
444	568
445	556
446	598
447	542
448	591
449	497
450	539
451	567
452	565
453	566
454	577
455	541
456	613
457	621
458	554
459	580
460	597
461	570
462	558
463	579
464	582
465	598
466	591
467	607
468	549
469	558
470	591
471	585
472	605
473	626
474	550
475	596
476	631
477	620
478	619
479	565
480	599
481	600
482	574
483	625
484	632
485	610
486	541
487	636
488	549
489	588
490	608
491	604
492	567
493	548
494	627
495	578
